PLAYER,CAP HIT,player_id
Marc McLaughlin,883750,mclauma01
Adam Ginning,883750,ginniad01
Filip Johansson,883750,johanfi01
Lauri Pajuniemi,883750,pajunla01
Nathan Smith,883750,smithna01
Ryan Fanti,883750,fantiry01
Arvid Söderblom,883750,söderar01
Jack McBain,883750,mcbaija01
Ronnie Attard,883750,attarro01
Andre Lee,883750,leean02
Jaxson Stauber,883750,staubja01
Matthew Kessel,883750,kessema01
Nils Åman,883750,åmanni01
Zach Dean,883333,deanza01
Peter Diliberatore,880833,dilibpe01
Jesse Ylönen,880833,ylöneje01
Matthew Boldy,880833,boldyma01
Cole Caufield,880833,caufico01
Justus Annunen,880833,annunju01
Cam York,880833,yorkca01
Ethan Del Mastro,878333,delet01
Joshua Lopina,878333,lopinjo01
Ludwig Persson,878333,persslu01
Alex Beaucage,878333,beaucal01
Calle Clang,878333,clangca01
Alexander Suzdalev,878333,suzdaal01
Elmer Söderblom,878333,söderel01
Ethan Samson,876667,samsoet01
